0.74411,0.93633,-0.00011;0.47055,0.8953,0.0249;0.30206,0.81906,0.04741;0.16696,0.75269,0.08141;0.05408,0.71187,0.13095;0.52664,0.63645,-0.01119;0.43483,0.48271,-0.0265;0.39297,0.39008,-0.04817;0.36026,0.32106,-0.04368;0.66908,0.62483,0.04387;0.64825,0.44903,0.03007;0.63454,0.34378,0.02857;0.62451,0.26536,0.03033;0.78733,0.64245,0.12042;0.83277,0.49058,0.13727;0.8622,0.39837,0.14114;0.88685,0.32151,0.14491;0.87298,0.6788,0.2055;0.93094,0.58491,0.25828;0.95507,0.53867,0.28397;0.97261,0.4983,0.29803;
0.70305,0.92942,-0.00005;0.43526,0.87515,0.08028;0.28164,0.80055,0.12707;0.16275,0.73188,0.17325;0.0662,0.69681,0.23023;0.49641,0.62983,0.07107;0.40921,0.48178,0.09113;0.37195,0.3915,0.08246;0.34493,0.32649,0.08162;0.6274,0.6184,0.09787;0.60607,0.44841,0.11058;0.59261,0.34631,0.10422;0.5826,0.27291,0.09397;0.73724,0.63219,0.14586;0.77421,0.48598,0.1916;0.79185,0.39487,0.20831;0.80687,0.32661,0.21682;0.82513,0.66352,0.20561;0.8899,0.56426,0.26027;0.91865,0.50498,0.28464;0.94049,0.45508,0.29603;
0.70629,0.92803,-0.00019;0.45217,0.87212,0.1064;0.3048,0.80113,0.16749;0.19361,0.73589,0.22155;0.10779,0.70375,0.29006;0.50782,0.6323,0.13402;0.43203,0.49533,0.17813;0.39972,0.41046,0.18229;0.37568,0.35138,0.18783;0.63139,0.6226,0.14536;0.61249,0.46067,0.17646;0.60247,0.36646,0.17244;0.59237,0.29911,0.16828;0.73674,0.6363,0.17437;0.76273,0.49712,0.23438;0.77206,0.41298,0.25484;0.77845,0.35073,0.26911;0.82342,0.66767,0.21768;0.8827,0.57455,0.27717;0.908,0.51778,0.30278;0.9248,0.47217,0.31986;
0.70942,0.87335,-0.00016;0.47816,0.81744,0.07303;0.33364,0.75357,0.11974;0.22897,0.69602,0.16063;0.1514,0.6683,0.21451;0.52415,0.60037,0.12976;0.45504,0.48284,0.17886;0.42317,0.41049,0.19319;0.4005,0.36042,0.20364;0.63342,0.59351,0.15114;0.61047,0.45089,0.19221;0.59762,0.37063,0.19337;0.58788,0.31149,0.19607;0.72665,0.6062,0.18179;0.74423,0.48519,0.24514;0.7521,0.41223,0.26753;0.7563,0.35567,0.28453;0.8035,0.63481,0.22217;0.85572,0.55517,0.27668;0.88068,0.50657,0.29568;0.89506,0.46687,0.30949;
0.70476,0.80374,-0.0002;0.50635,0.75794,0.04128;0.38042,0.69821,0.07384;0.29185,0.64849,0.10551;0.22537,0.62833,0.14815;0.55733,0.56342,0.09965;0.49705,0.46005,0.13863;0.46623,0.3959,0.14062;0.44557,0.35229,0.14405;0.65307,0.5596,0.12534;0.63053,0.4378,0.16399;0.61612,0.36582,0.15905;0.60669,0.3123,0.15657;0.73294,0.57378,0.15947;0.75054,0.47077,0.21261;0.75926,0.40594,0.2259;0.76448,0.35663,0.2395;0.79588,0.60109,0.1987;0.84494,0.53361,0.24531;0.87235,0.49125,0.25822;0.89113,0.45625,0.26992;
0.7055,0.78834,-0.00014;0.51803,0.75193,0.03815;0.40145,0.695,0.06452;0.31659,0.64647,0.08551;0.24908,0.62626,0.11257;0.562,0.56382,0.07433;0.51373,0.46269,0.08921;0.49146,0.40093,0.07767;0.4746,0.35722,0.07472;0.65887,0.55882,0.08326;0.64462,0.44154,0.10089;0.64045,0.37188,0.08592;0.63682,0.32007,0.07672;0.74055,0.57286,0.10004;0.7625,0.47194,0.12867;0.78077,0.40822,0.12838;0.79392,0.35808,0.12822;0.8069,0.60126,0.12245;0.85574,0.53508,0.14663;0.88304,0.49384,0.14863;0.9013,0.45819,0.15306;
0.6953,0.75432,-0.00013;0.51322,0.71502,0.04505;0.40241,0.66184,0.07519;0.32123,0.61628,0.09811;0.25572,0.59933,0.1262;0.55481,0.53535,0.09054;0.50734,0.43772,0.11356;0.4871,0.37755,0.10793;0.47292,0.33593,0.10955;0.65051,0.53223,0.09843;0.63653,0.41803,0.11941;0.63269,0.34997,0.10577;0.62751,0.29902,0.09656;0.73283,0.54679,0.114;0.7585,0.45041,0.14681;0.77709,0.38876,0.14806;0.7879,0.33993,0.15053;0.80015,0.57473,0.13591;0.85101,0.51253,0.16456;0.87926,0.47248,0.16851;0.89745,0.43755,0.17292;
0.67247,0.71549,-0.00014;0.50488,0.67914,0.03967;0.39764,0.62794,0.05305;0.31949,0.58555,0.0627;0.25646,0.5713,0.07334;0.53714,0.51203,0.04066;0.49476,0.41774,0.04191;0.47968,0.36042,0.02545;0.46922,0.32025,0.02073;0.63356,0.50922,0.04063;0.62509,0.40077,0.04051;0.62642,0.33538,0.01569;0.62608,0.28696,-0.00015;0.71513,0.52309,0.05226;0.73732,0.43153,0.06729;0.75267,0.37353,0.06641;0.76119,0.32807,0.06845;0.78277,0.5489,0.06992;0.83034,0.48704,0.08716;0.85466,0.44927,0.0939;0.86806,0.41645,0.10203;
0.67186,0.69597,-0.00011;0.50558,0.66467,0.04044;0.40049,0.61644,0.06322;0.32104,0.57559,0.08078;0.25664,0.56292,0.10011;0.54056,0.50235,0.05996;0.49875,0.40985,0.0678;0.48548,0.3539,0.05514;0.47571,0.3145,0.05095;0.636,0.49774,0.06227;0.62648,0.39235,0.07049;0.62684,0.3274,0.05055;0.62674,0.28004,0.03485;0.71808,0.51016,0.07384;0.73932,0.42083,0.09103;0.75519,0.3635,0.09033;0.76584,0.31966,0.0904;0.78584,0.5348,0.09206;0.83122,0.47664,0.11234;0.85668,0.4403,0.12071;0.87268,0.40887,0.12813;
0.66797,0.67418,-0.00009;0.51129,0.64254,0.00288;0.4082,0.59598,0.00209;0.33268,0.55765,-0.0017;0.26758,0.54656,-0.00981;0.54486,0.4853,0.00728;0.50681,0.39661,-0.01101;0.49265,0.34172,-0.03959;0.48233,0.30103,-0.05453;0.6388,0.48126,0.00833;0.63225,0.38173,-0.00305;0.63266,0.31996,-0.03801;0.63268,0.27319,-0.06395;0.71962,0.4934,0.01567;0.73764,0.40858,0.01397;0.75145,0.35467,-0.0045;0.76074,0.31179,-0.01679;0.78842,0.51753,0.02434;0.83186,0.46199,0.02606;0.85438,0.42686,0.01744;0.86715,0.3949,0.01116;
0.66839,0.65305,-0.0001;0.51773,0.62405,0.01201;0.41953,0.58039,0.0157;0.34975,0.54396,0.01512;0.28996,0.53194,0.01246;0.5515,0.47525,0.01467;0.51707,0.39061,-0.00167;0.50366,0.33797,-0.02719;0.49349,0.29936,-0.04039;0.64282,0.47119,0.01196;0.63787,0.37644,0.0015;0.63901,0.31702,-0.03169;0.63995,0.2723,-0.05849;0.72129,0.48355,0.01567;0.7401,0.40232,0.01247;0.75445,0.34983,-0.00483;0.7652,0.30836,-0.01759;0.7879,0.50802,0.02272;0.83091,0.45473,0.0246;0.85286,0.42055,0.0175;0.86595,0.38956,0.01052;
0.65899,0.63129,-0.00011;0.51201,0.60578,0.0264;0.42027,0.56453,0.04017;0.35724,0.52835,0.04915;0.30172,0.51484,0.05971;0.54226,0.46351,0.0325;0.51146,0.3823,0.0269;0.50095,0.33202,0.01133;0.49322,0.29566,0.00382;0.63142,0.45903,0.02825;0.62592,0.36681,0.02365;0.62723,0.31073,-0.00129;0.62818,0.26833,-0.02229;0.70706,0.47022,0.03067;0.7236,0.39033,0.03298;0.73615,0.34069,0.02414;0.7458,0.30138,0.01752;0.77152,0.49331,0.03807;0.81106,0.44068,0.04433;0.83197,0.40774,0.04414;0.84488,0.37889,0.04265;
0.65414,0.61167,-0.00011;0.51618,0.58665,-0.00302;0.42783,0.54752,-0.0006;0.36819,0.51462,-0.0029;0.31528,0.50393,-0.00731;0.54171,0.45205,0.01065;0.51187,0.37646,-0.00775;0.49981,0.3302,-0.03316;0.49066,0.29502,-0.04743;0.62446,0.44788,0.00782;0.62038,0.36266,-0.00361;0.62202,0.3103,-0.0382;0.62396,0.26995,-0.06814;0.6958,0.45903,0.00659;0.71242,0.38532,-0.00135;0.72662,0.3387,-0.02391;0.73783,0.30124,-0.04251;0.75745,0.48168,0.00613;0.7961,0.43449,-0.00076;0.81626,0.40467,-0.01455;0.82808,0.3778,-0.02811;
0.63192,0.59606,-0.00012;0.49753,0.57373,-0.00186;0.41501,0.53711,0.00626;0.35723,0.50611,0.00941;0.30673,0.49676,0.01147;0.52314,0.44399,0.03517;0.495,0.37267,0.0266;0.48223,0.32853,0.00322;0.4725,0.29591,-0.01084;0.60121,0.44014,0.03335;0.59758,0.35946,0.03131;0.59695,0.31025,-0.00051;0.59652,0.27242,-0.02878;0.66839,0.45092,0.03131;0.68614,0.38089,0.02919;0.6993,0.33725,0.00793;0.70989,0.30223,-0.00894;0.72565,0.47263,0.02924;0.76369,0.42806,0.02364;0.7839,0.39975,0.01093;0.7969,0.37398,-0.00003;
0.62545,0.57618,-0.00008;0.49405,0.55578,0.00703;0.41415,0.52255,0.02096;0.35646,0.49284,0.02854;0.30555,0.48328,0.03568;0.51862,0.43223,0.05257;0.49064,0.36251,0.04905;0.47876,0.31925,0.0308;0.47014,0.2875,0.01906;0.59467,0.42764,0.04993;0.58987,0.34911,0.05297;0.58988,0.30082,0.02476;0.59042,0.26424,-0.00119;0.66106,0.43739,0.04693;0.67706,0.36904,0.05069;0.68951,0.32674,0.03303;0.69994,0.29267,0.0179;0.71781,0.45793,0.04411;0.75319,0.41457,0.0458;0.772,0.38721,0.03672;0.7842,0.36203,0.02721;
0.62066,0.56767,-0.00009;0.4958,0.54865,-0.00529;0.4152,0.51669,0.00041;0.35879,0.48866,0.0022;0.30983,0.47919,0.00273;0.51517,0.43012,0.03076;0.48715,0.36433,0.0202;0.47473,0.3232,-0.00101;0.46586,0.29207,-0.01442;0.58795,0.42508,0.03027;0.58119,0.35134,0.0269;0.57971,0.3055,-0.00366;0.57976,0.27029,-0.03127;0.65203,0.43407,0.02887;0.66526,0.36982,0.02711;0.67596,0.32978,0.00757;0.68449,0.29728,-0.00971;0.7078,0.45346,0.02579;0.74085,0.41226,0.02183;0.75654,0.38608,0.0093;0.76455,0.36186,-0.00336;
0.61568,0.55895,-0.0001;0.49844,0.54046,-0.01452;0.42053,0.51087,-0.01597;0.36598,0.48472,-0.01977;0.31827,0.4758,-0.02505;0.51328,0.42806,0.01568;0.48663,0.367,0.0006;0.475,0.3285,-0.02164;0.46708,0.29856,-0.03573;0.58216,0.42275,0.017;0.57587,0.35412,0.01115;0.57524,0.31201,-0.01835;0.57639,0.27949,-0.04328;0.64352,0.43077,0.01684;0.65607,0.3709,0.01349;0.66604,0.33392,-0.00427;0.6738,0.30411,-0.0194;0.69816,0.44888,0.01354;0.73055,0.41144,0.00846;0.7456,0.38767,-0.00378;0.75364,0.36588,-0.01564;
